kernel,target,phase,ratio,measurement,status,cluster,entity,work_ledger,owner,needs,source,evidence,repro,this_round
mul_mat_iq4_nl,K1/X60,decode,0.858572,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq4_nl decode 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
mul_mat_iq2_xxs,K1/X60,prefill,0.867742,targeted-rerun,待定,03-staged-entry-memory-choice,staged free-axis carrier 的 codebook entry load / relative index,正确的 I8X8 entry ABI 确实生成 64-bit gather，但 K1 ratio 0.705253，加入 u32 相对坐标也仅 0.775215；裸表 u32 为 0.793987，当前原 Index staged 为 0.867863。,lib/Target/PlanRISCVMemory.cpp::selectIndexedEntryPhysicalChoice; examples/kernels/mul_mat/iq2_xxs_staged.py; examples/kernels/mul_mat/tuning.json,在同一个完整 indexed-entry relation 内联合比较 scalar/unit 与 vector/gather 的合法 layout/resource 候选，并解决重复 metadata 供应；补 entry ABI 本身不足以达线。,lib/Target/PlanRISCVMemory.cpp:1558; examples/kernels/mul_mat/iq2_xxs_staged.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/selected-final-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/selected-final-k1-000-mul_mat_iq2_xxs-prefill.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq2_xxs prefill 10,相关入口数值复跑通过；最新保留阶段=selected-final；未将该行描述为已达线
mul_mat_iq1_m,SG2044,prefill,0.868933,targeted-rerun,待定,14-prefill-replica-live-set,IQ1_M prefill 的 MR2/NR1 main/correction partial 与 reload live set,当前 final vector peak=31，local storage=0；main/correction 各两路输出 partial_set，每组4个i16m2 reduction。旧值0.954927来自更早的C，当前默认复跑0.868933。LMUL-eighths=8/16分别在两路reload交会处需要38/41组，超过32。,lib/Target/MaterializeRISCVPartialAccumulators.cpp; lib/Target/MaterializeRISCVResources.cpp; examples/kernels/mul_mat/tuning.json,free-axis sibling partial 的联合供应与reload活跃区间规划；更小LMUL不能绕过资源合法性。旧C与当前C有多处变化，尚未单独隔离历史回退原因，不将其直接归为本轮改动。,examples/kernels/mul_mat/iq1_m.py:67; examples/kernels/mul_mat/iq1_m.py:110; lib/Target/MaterializeRISCVPartialAccumulators.cpp,/tmp/weft-ratio95-issue-supply.uhgKOr/iq1m-prefill-current.mlir; /tmp/weft-ratio95-issue-supply.uhgKOr/iq1m-prefill-binding-tune; report/read-value-physical-closure-runs.csv:10; /tmp/weft-ratio95-issue-supply.uhgKOr/boundary-final-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/boundary-final-sg2044-000-mul_mat_iq1_m-prefill.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_m prefill 10,边界回归新发现低于线；撤回原型后仍0.868933；3个LMUL候选中2个资源拒绝、原32绑定仍最快
q4_k_q8_k,SG2044,decode,0.882407,targeted-rerun,待定,07-joined-metadata-bsum-window,joined sc/m metadata 的原始 byte window 与 scalar/vector decode,SG bsum 的 4 条 vlse16 已变为 2 条 vlseg2e16，无额外 tuple 搬运；仍有 8 scalar LBU + 2 VL8 indexed metadata reads，donor 是一次完整 metadata unit read 后局部 decode。,lib/Target/PlanRISCVMemory.cpp; lib/Target/ShareRISCVLayeredWindows.cpp::MaterializeRISCVReplicaStorageLoadsPass,保留已完成的 segment pair 关系；仍需跨 joined-field 的原始 byte-window identity 和 scalar/vector decode 共享，不再把 bsum strided load 列作未修项。,lib/Target/ShareRISCVLayeredWindows.cpp:2628; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:1789,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/SG2044-q4_k-segment.s:165; /tmp/weft-ratio95-supply.ShJU9a/segment-final-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 q4_k 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
mul_mat_q6_k,K1/X60,prefill,0.895079,targeted-rerun,待定,11-scalar-address-live-set,Q6_K prefill 的地址与 scalar partial carry 生存期,unroll 4 -> 2 后 frame 784 -> 640 B，ratio 0.821661 -> 0.896682；仍有地址和标量 partial reload。MR1/2 x NR1/2 的 4 个更小候选均较慢。,lib/Target/MaterializeRISCVPartialAccumulators.cpp; Physical issue schedule/resource; examples/kernels/mul_mat/tuning.json,缩短标量/地址活跃区间并联合 partial issue 调度，显式考虑 GPR 压力；不能把该 spill 归为所有 metadata 或向量 load 重复。,examples/kernels/mul_mat/q6_k.py:16; lib/Target/MaterializeRISCVPartialAccumulators.cpp,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 q6_k prefill 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
mul_mat_q4_1,K1/X60,prefill,0.912010,targeted-rerun,待定,10-replica-reduction-extract-schedule,MR4 x NR2 的 8 路 reduction/extract/vtype 序列,Xq load 已共享；8 次 zero copy 与 8 路交错 reduction/extract 产生 16 次 vtype 切换。两边均使用 -ffp-contract=fast 且有实际 FMA，不是缺 FMA。,lib/Target/MaterializeRISCVPartialAccumulators.cpp; lib/Target/SelectRISCVOperations.cpp; Physical schedule/resource 合同,联合 replica reduction/extract 调度，保持 tail、vtype 和资源合同；本轮 zero-seed 规则不能无条件扩大到不完整 tail。,examples/kernels/mul_mat/q4_1.py; lib/Target/SelectRISCVOperations.cpp::selectZeroSeedProducts,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 q4_1 prefill 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
mxfp4_q8_0,K1/X60,decode,0.919442,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 mxfp4 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
mul_mat_mxfp4,K1/X60,decode,0.931825,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 mxfp4 decode 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
iq3_xxs_q8_k,K1/X60,decode,0.942121,targeted-rerun,待定,04-entry-pairing-index-live-set,I8X4 lookup / sign broadcast index / data-partial live set,metadata 已是每块 32 B 且 sign/scale 共用 SSA；直接扩展的 entry index 已降到 EEW16。当前每 64 元素 16 个 4 B entry，donor 8 个 8 B entry；sign 位运算链仍为 u32。,lib/Target/PlanRISCVMemory.cpp::materializeEntryByteOffsets; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,表达成对 4 B entry 到 8 B entry 的源坐标关系及 sign 广播复用，联合估计 index/data/partial 生存期；不要对任意 u32 运算链追加 narrow。,examples/kernels/vec_dot/iq3_xxs_q8_k.py:8; lib/Target/PlanRISCVMemory.cpp:313; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5107,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-cache-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-cache-k1-003-iq3_xxs_q8_k-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq3_xxs 10,相关入口数值复跑通过；最新保留阶段=issue-cache；未将该行描述为已达线
mul_mat_q4_k,SG2044,decode,0.944265,targeted-rerun,待定,07-joined-metadata-bsum-window,joined sc/m metadata 的原始 byte window 与 scalar/vector decode,SG bsum 的 4 条 vlse16 已变为 2 条 vlseg2e16，无额外 tuple 搬运；仍有 8 scalar LBU + 2 VL8 indexed metadata reads，donor 是一次完整 metadata unit read 后局部 decode。,lib/Target/PlanRISCVMemory.cpp; lib/Target/ShareRISCVLayeredWindows.cpp::MaterializeRISCVReplicaStorageLoadsPass,保留已完成的 segment pair 关系；仍需跨 joined-field 的原始 byte-window identity 和 scalar/vector decode 共享，不再把 bsum strided load 列作未修项。,lib/Target/ShareRISCVLayeredWindows.cpp:2628; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:1789,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/SG2044-q4_k-segment.s:165; /tmp/weft-ratio95-supply.ShJU9a/segment-final-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 q4_k decode 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
