seq,family_spectrum,decode_model,frontdoor_flip_commit,gross_insert_LOC(lib+include),gross_delete_LOC(lib+include),net_LOC,reusable_framework_LOC(paid-once),family_specific_LOC,of_which_copy_adapt_template_LOC,retirement_offset_LOC(retired-direct-emit-bypass),delta_C_construct,cost_tier,marginal_position,labor_proxy_passes,recompute_ref,snapshot
20,quantize_row(streaming K-quant activation-quantizer; f32 row -> block_q8_K; QK_K=256 min/max-symmetric + float d + per-16 bsums + zero-block memset),q8_K,pending-user-commit,28,0,+28,~0 (reuses the quantize streaming FRONT-DOOR framework WHOLE; ZERO framework re-pay),~28,"~28 (RELOCATED VERBATIM: the whole q8_K QK_K=256 super-block quantizer loop was MOVED from the emitGgmlQuantizeRowQ8K monolith tail into emitQuantizeRowQ8KBodyShared -- net-new LOC ~0, only the facts-const + the wrapper + the emitTypedQuantizeRowLoopBody dispatch if are new)",0 (quantize NOT in emit-bypass-whitelist; the emitGgmlQuantizeRowQ8K entry KEPT as the construct-then-lower wrapper),54->55,LOW (framework re-pay ~0; the q8_K encode body already EXISTED in the monolith -> RELOCATED not authored; the K-quant activation-quantizer leaf; COMPLETES the quantize_row family {q8_0/q8_1/q8_K}),"cheap-reuse (THIRD quantize leaf / COMPLETES the quantize activation-quantizer family; the heaviest quantizer -- QK_K=256 min/max-symmetric iscale, float d, RNE vfcvt/vnclip narrow, per-16 vslidedown vwredsum bsums, zero-block memset -- but the whole super-block body is REUSED WHOLE from the monolith via the MOVED shared body; only the encode-leaf relocation + the routing dispatch if + the construct facts branch (qk=256/block_stride=292) are net-new)",1,git diff --numstat scoped to the 4 quantize touch-set lib+include files (per-format share of the 607/53 batch; see seq 18); family-specific = emitQuantizeRowQ8KBodyShared encode leaf (MOVED VERBATIM) + the q8_K construct facts branch,HEAD=ce19ed3c
21,dequantize_row(IQ grid-table super-block streaming block-decode; block_iqX -> f32 row; QK_K=256; grid-of-8 int64 codebook + DERIVED signs64 (+-1) sign plane; aux 4-bit scale + 7-bit ksigns selectors),iq2_xxs,pending-user-commit,123,30,+93,~85 (the dequant streaming FRONT-DOOR framework itself was paid ONCE at the q8_0 family-head seq 8; the emitGgmlDequantizeRowExtended FORMAT-KEYED refactor [deqOp -> format string] was ALREADY paid at the K-quant flip seq 13; the ONLY genuinely-new IQ-class framework here = the emitDequantizeRowIQGridBodyShared thin forwarder + the emitTypedDequantizeRowLoopBody IQ decode_model dispatch branch + the allowlist widen + the verifier isConstructedDequantizeRowDecodeModel widen + the ODS/header doc -- MOSTLY explanatory doc comments not decode logic; the whole IQ grid decode already lives WHOLE in emitGgmlDequantizeRowExtended so it is REUSED WHOLE both paths run),~8 (the iq2_xxs constructOrEmit facts branch qk=256/stride=66/dOff=0/qsOff=2 -- the grid-of-8 int64 gather + the DERIVED signs64 sign plane + the aux scale/selectors already live WHOLE in the shared decode),~8 (the emitDequantizeRowIQGridBodyShared forwarder is a near-VERBATIM copy-adapt of the emitDequantizeRowKQuantBodyShared K-quant forwarder -- same signature; a single-line forward to emitGgmlDequantizeRowExtended; the IQ grid super-block decode itself is NOT copied -- REUSED WHOLE from the monolith emitGgmlDequantizeRowExtended which is the SINGLE source both paths run),0 (dequant NOT in emit-bypass-whitelist; the monolith is KEPT and is now the SHARED single source reached by BOTH the dispatch-wired fallback AND the constructed path -- no tracked bypass retired; the IQ grid leaves were NOT deleted/relocated),55->56,LOW (IQ-class framework re-pay small AND lower than the K-quant seq-13 re-pay -- the format-keyed emitGgmlDequantizeRowExtended refactor was ALREADY paid at K-quant; the whole IQ grid decode already EXISTED -> REUSED WHOLE not authored; the IQ forwarder is a copy-adapt of the K-quant forwarder; most net LOC is explanatory doc; first IQ grid-table dequant leaf),cheap-reuse (FIRST IQ grid-table super-block dequant leaf; the dequantize_row streaming FRONT-DOOR framework built once at q8_0 seq 8 + the format-keyed monolith refactor paid at K-quant seq 13 are BOTH reused WHOLE -- only the IQ-class routing generalization [a copy-adapt forwarder + 1 dispatch if + allowlist/verifier tokens] is net-new; the SAME emitGgmlDequantizeRowExtended grid decode is reused WHOLE via emitDequantizeRowIQGridBodyShared; the 5 IQ formats differ ONLY in qk=256 + per-format stride/offset facts; NO signs64/grid-table op-attr blocker -- that blocker is block-dot-repack-only; this streaming dequant leaf is self-contained),1,git diff --numstat SCOPED to the 4 IQ dequant touch-set lib+include files (RVVToEmitCForwardElementwise.cpp 65/14 + RVVToEmitCInternal.h 36/8 + RVVDialectWideningOps.cpp 9/4 + RVVOps.td 13/4 = 123/30 gross for the WHOLE iq2_xxs..iq3_s batch; the working-tree line-C + quantize_row changes are in DISJOINT hunks/files -- EXCLUDED; RVVToEmitC.cpp UNTOUCHED); reusable = emitDequantizeRowIQGridBodyShared forwarder + emitTypedDequantizeRowLoopBody IQ dispatch/allowlist + verifier allowlist + ODS/header doc; family-specific = the iq2_xxs constructOrEmit facts branch,HEAD=76810f9f
22,dequantize_row(IQ grid-table super-block streaming block-decode; QK_K=256; 512-entry int64 grid (9-bit index qs&511) + DERIVED signs64 (selector qs>>9); 4-bit scales),iq2_xs,pending-user-commit,3,0,+3,~0 (reuses the IQ-class routing + the SAME emitGgmlDequantizeRowExtended grid decode WHOLE via emitDequantizeRowIQGridBodyShared; ZERO framework re-pay),~3 (facts-wrapper leaf: the iq2_xs constructOrEmit facts branch qk=256/stride=74/dOff=0/qsOff=2 -- the 512-entry grid + the qs>>9 signs64 selector already live WHOLE in the shared decode),0 (NO copied decode leaf: the iq2_xs grid decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),56->57,LOW (facts-wrapper-only; the 512-entry grid gather + the qs>>9 signs64 selector + the 4-bit scales are FULLY shared -- iq2_xs differs from iq2_xxs only in stride/offset + the u16-strip 9-bit index path already in the shared decode),cheap-reuse (SECOND IQ grid-table super-block leaf / FIRST u16-strip 9-bit-index sibling; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the grid decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 IQ dequant touch-set lib+include files (per-format share of the 123/30 batch; see seq 21); family-specific = the iq2_xs constructOrEmit facts branch,HEAD=76810f9f
23,dequantize_row(IQ grid-table super-block streaming block-decode; QK_K=256; 1024-entry int64 grid (qs|qh-bit index) + universal signs256 by EXPLICIT sign byte; 4-bit scales),iq2_s,pending-user-commit,3,0,+3,~0 (reuses the IQ-class routing + the SAME emitGgmlDequantizeRowExtended grid decode WHOLE; ZERO framework re-pay),~3 (facts-wrapper leaf: the iq2_s constructOrEmit facts branch qk=256/stride=82/dOff=0/qsOff=2 -- the 1024-entry grid + the signs256 explicit-sign-byte plane already live WHOLE in the shared decode),0 (NO copied decode leaf: the iq2_s grid decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),57->58,LOW (facts-wrapper-only; the 1024-entry grid + the universal signs256 explicit-sign-byte plane + the qs|qh index + the 4-bit scales are FULLY shared -- iq2_s differs only in stride/offset facts),cheap-reuse (THIRD IQ grid-table super-block leaf / FIRST explicit-sign-byte + qh-index sibling; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the grid decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 IQ dequant touch-set lib+include files (per-format share of the 123/30 batch; see seq 21); family-specific = the iq2_s constructOrEmit facts branch,HEAD=76810f9f
24,dequantize_row(IQ grid-table super-block streaming block-decode; QK_K=256; grid-of-4 uint32 codebook + ksigns selector plane (per-lane bit-tested); aux scale d*(0.5+(aux>>28))*0.5),iq3_xxs,pending-user-commit,3,0,+3,~0 (reuses the IQ-class routing + the SAME emitGgmlDequantizeRowExtended grid decode WHOLE; ZERO framework re-pay),~3 (facts-wrapper leaf: the iq3_xxs constructOrEmit facts branch qk=256/stride=98/dOff=0/qsOff=2 -- the grid-of-4 uint32 gather + the ksigns selector plane already live WHOLE in the shared decode),0 (NO copied decode leaf: the iq3_xxs grid decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),58->59,LOW (facts-wrapper-only; the grid-of-4 uint32 gather + the ksigns selector plane + the aux scale + the per-lane bit-tested signs are FULLY shared -- iq3_xxs differs only in stride/offset facts),cheap-reuse (FOURTH IQ grid-table super-block leaf / FIRST grid-of-4 uint32 + ksigns sibling; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the grid decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 IQ dequant touch-set lib+include files (per-format share of the 123/30 batch; see seq 21); family-specific = the iq3_xxs constructOrEmit facts branch,HEAD=76810f9f
25,dequantize_row(IQ grid-table super-block streaming block-decode; QK_K=256; 512-entry uint32 grid-of-4 with 9th index bit from qh; EXPLICIT per-lane sign bytes; two-pass qh0/qh1 db=d*(1+2*scale)),iq3_s,pending-user-commit,3,0,+3,~0 (reuses the IQ-class routing + the SAME emitGgmlDequantizeRowExtended grid decode WHOLE; ZERO framework re-pay),~3 (facts-wrapper leaf: the iq3_s constructOrEmit facts branch qk=256/stride=110/dOff=0/qsOff=2 -- the qh-merged 9th index bit + the EXPLICIT per-lane sign bytes + the two-pass db already live WHOLE in the shared decode),0 (NO copied decode leaf: the iq3_s grid decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),59->60,LOW (facts-wrapper-only; the 512-entry grid + the qh-merged 9th index bit + the EXPLICIT per-lane sign bytes + the two-pass db=d*(1+2*scale) are FULLY shared -- iq3_s differs only in stride/offset facts; COMPLETES the iq2/iq3 grid-table dequant cohort {iq2_xxs/iq2_xs/iq2_s/iq3_xxs/iq3_s}),cheap-reuse (FIFTH IQ grid-table super-block leaf / COMPLETES the iq2/iq3 grid-table dequant cohort; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the grid decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 IQ dequant touch-set lib+include files (per-format share of the 123/30 batch; see seq 21); family-specific = the iq3_s constructOrEmit facts branch,HEAD=76810f9f
26,dequantize_row(codebook / ternary-grid extended streaming block-decode; QK_K=256; 2048-entry ternary iq1s_grid gather + qh per-group scale + +-0.125 delta; fp16 d seam),iq1_s,pending-user-commit,130,24,+106,~100 (the dequant streaming FRONT-DOOR framework itself was paid ONCE at the q8_0 family-head seq 8; the emitGgmlDequantizeRowExtended FORMAT-KEYED refactor was ALREADY paid at the K-quant flip seq 13; the ONLY genuinely-new codebook/ternary-grid framework here = the emitDequantizeRowCodebookGridBodyShared thin forwarder + the emitTypedDequantizeRowLoopBody codebook/grid decode_model dispatch branch + the decode_model gate widen (6 tokens) + the isConstructedDequantizeRowDecodeModel verifier widen (6 tokens) + the ODS/header doc -- MOSTLY explanatory doc comments not decode logic; the whole iq1/iq4/fp4 decode already lives WHOLE in emitGgmlDequantizeRowExtended so it is REUSED WHOLE both paths run),~6 (the iq1_s constructOrEmit facts branch qk=256/stride=50/dOff=0/qsOff=2 + comment -- the ternary iq1s_grid gather + qh scale + delta already live WHOLE in the shared decode),~6 (the emitDequantizeRowCodebookGridBodyShared forwarder is a near-VERBATIM copy-adapt of the emitDequantizeRowIQGridBodyShared forwarder -- same signature; a single-line forward to emitGgmlDequantizeRowExtended; the codebook/grid super-block decode itself is NOT copied -- REUSED WHOLE from the monolith emitGgmlDequantizeRowExtended which is the SINGLE source both paths run),0 (dequant NOT in emit-bypass-whitelist; the monolith is KEPT and is now the SHARED single source reached by BOTH the dispatch-wired fallback AND the constructed path -- no tracked bypass retired; the codebook/ternary-grid leaves were NOT deleted/relocated),60->61,LOW (codebook/ternary-grid framework re-pay small AND lower than the K-quant seq-13 re-pay -- the format-keyed emitGgmlDequantizeRowExtended refactor was ALREADY paid; the whole iq1/iq4/fp4 decode already EXISTED -> REUSED WHOLE not authored; the forwarder is a copy-adapt of the IQ-grid forwarder; most net LOC is explanatory doc; first codebook/ternary-grid dequant leaf),cheap-reuse (FIRST codebook/ternary-grid extended dequant leaf; the dequantize_row streaming FRONT-DOOR framework built once at q8_0 seq 8 + the format-keyed monolith refactor paid at K-quant seq 13 are BOTH reused WHOLE -- only the codebook/grid routing generalization [a copy-adapt forwarder + 1 dispatch if + gate/allowlist/verifier tokens] is net-new; the SAME emitGgmlDequantizeRowExtended decode is reused WHOLE via emitDequantizeRowCodebookGridBodyShared; the 6 formats differ ONLY in qk + per-format stride/offset facts; NO codebook/grid op-attr blocker -- that blocker is block-dot-repack-only; this streaming dequant leaf is self-contained),1,git diff --numstat SCOPED to the 4 codebook/ternary-grid dequant touch-set lib+include files (RVVToEmitCForwardElementwise.cpp 75/11 + RVVToEmitCInternal.h 23/0 + RVVDialectWideningOps.cpp 9/4 + RVVOps.td 23/9 = 130/24 gross for the WHOLE iq1_s..nvfp4 batch; the working-tree line-C changes are in DISJOINT files -- EXCLUDED; RVVToEmitC.cpp UNTOUCHED); reusable = emitDequantizeRowCodebookGridBodyShared forwarder + emitTypedDequantizeRowLoopBody codebook/grid dispatch/gate + verifier allowlist + ODS/header doc; family-specific = the iq1_s constructOrEmit facts branch,HEAD=f1201748
27,dequantize_row(codebook / ternary-grid extended streaming block-decode; QK_K=256; 2048-entry ternary iq1m_grid; NO fp16 d -- reconstructed packed iq1m_scale fp16; dl1/dl2 3-bit sub-scales + +-0.125 delta),iq1_m,pending-user-commit,7,0,+7,~0 (reuses the codebook/grid routing + the SAME emitGgmlDequantizeRowExtended decode WHOLE; ZERO framework re-pay),~6 (facts-wrapper leaf: the iq1_m constructOrEmit facts branch qk=256/stride=56/dOff=0/qsOff=0 -- the decode already lives WHOLE in the shared decode),0 (NO copied decode leaf: the iq1_m decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),61->62,LOW (facts-wrapper-only; the decode is FULLY shared -- iq1_m differs only in qk + stride/offset facts),cheap-reuse (SECOND codebook/ternary-grid leaf / FIRST no-fp16-d reconstructed-packed-scale sibling; ~decode-leaf-only = a ~6-line constructOrEmit facts branch + the shared gate/allowlist/dispatch || token; the decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 codebook/ternary-grid dequant touch-set lib+include files (per-format share of the 130/24 batch; see seq 26); family-specific = the iq1_m constructOrEmit facts branch,HEAD=f1201748
28,dequantize_row(codebook extended streaming block-decode; QK4_NL=32; fp16 d seam + 16-entry non-linear kvalues_iq4nl codebook nibble gather),iq4_nl,pending-user-commit,7,0,+7,~0 (reuses the codebook/grid routing + the SAME emitGgmlDequantizeRowExtended decode WHOLE; ZERO framework re-pay),~6 (facts-wrapper leaf: the iq4_nl constructOrEmit facts branch qk=32/stride=18/dOff=0/qsOff=2 -- the decode already lives WHOLE in the shared decode),0 (NO copied decode leaf: the iq4_nl decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),62->63,LOW (facts-wrapper-only; the decode is FULLY shared -- iq4_nl differs only in qk + stride/offset facts),cheap-reuse (THIRD codebook/ternary-grid leaf / FIRST flat non-linear codebook sibling; ~decode-leaf-only = a ~6-line constructOrEmit facts branch + the shared gate/allowlist/dispatch || token; the decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 codebook/ternary-grid dequant touch-set lib+include files (per-format share of the 130/24 batch; see seq 26); family-specific = the iq4_nl constructOrEmit facts branch,HEAD=f1201748
29,"dequantize_row(codebook extended streaming block-decode; QK_K=256; fp16 d + 6-bit signed super-block scale (scales_l nibble | scales_h 2-bit, ls-32) + 16-entry iq4_nl codebook)",iq4_xs,pending-user-commit,7,0,+7,~0 (reuses the codebook/grid routing + the SAME emitGgmlDequantizeRowExtended decode WHOLE; ZERO framework re-pay),~6 (facts-wrapper leaf: the iq4_xs constructOrEmit facts branch qk=256/stride=136/dOff=0/qsOff=8 -- the decode already lives WHOLE in the shared decode),0 (NO copied decode leaf: the iq4_xs decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),63->64,LOW (facts-wrapper-only; the decode is FULLY shared -- iq4_xs differs only in qk + stride/offset facts),cheap-reuse (FOURTH codebook/ternary-grid leaf / FIRST super-block signed-6-scale codebook sibling; COMPLETES iq4 codebook pair on dequant path; ~decode-leaf-only = a ~6-line constructOrEmit facts branch + the shared gate/allowlist/dispatch || token; the decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 codebook/ternary-grid dequant touch-set lib+include files (per-format share of the 130/24 batch; see seq 26); family-specific = the iq4_xs constructOrEmit facts branch,HEAD=f1201748
30,dequantize_row(FP4 negative-control codebook extended streaming block-decode; QK_MXFP4=32; E8M0 exact-bit shared-exponent scale + 16-entry FP4 e2m1 kvalues_mxfp4 codebook nibble gather),mxfp4,pending-user-commit,7,0,+7,~0 (reuses the codebook/grid routing + the SAME emitGgmlDequantizeRowExtended decode WHOLE; ZERO framework re-pay),~6 (facts-wrapper leaf: the mxfp4 constructOrEmit facts branch qk=32/stride=17/dOff=0/qsOff=1 -- the decode already lives WHOLE in the shared decode),0 (NO copied decode leaf: the mxfp4 decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),64->65,LOW (facts-wrapper-only; the decode is FULLY shared -- mxfp4 differs only in qk + stride/offset facts),cheap-reuse (FIFTH codebook/ternary-grid leaf / FIRST FP4 e2m1 / E8M0 negative-control sibling; ~decode-leaf-only = a ~6-line constructOrEmit facts branch + the shared gate/allowlist/dispatch || token; the decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 codebook/ternary-grid dequant touch-set lib+include files (per-format share of the 130/24 batch; see seq 26); family-specific = the mxfp4 constructOrEmit facts branch,HEAD=f1201748
31,"dequantize_row(FP4 negative-control codebook extended streaming block-decode; QK_NVFP4=64; four UE4M3 sub-block scales via ldexpf + 16-entry FP4 codebook per sub-block; COMPLETES codebook/ternary-grid dequant cohort {iq1_s/iq1_m/iq4_nl/iq4_xs/mxfp4/nvfp4}, only tq1_0/tq2_0 remain)",nvfp4,pending-user-commit,7,0,+7,~0 (reuses the codebook/grid routing + the SAME emitGgmlDequantizeRowExtended decode WHOLE; ZERO framework re-pay),~6 (facts-wrapper leaf: the nvfp4 constructOrEmit facts branch qk=64/stride=36/dOff=0/qsOff=4 -- the decode already lives WHOLE in the shared decode),0 (NO copied decode leaf: the nvfp4 decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),65->66,LOW (facts-wrapper-only; the decode is FULLY shared -- nvfp4 differs only in qk + stride/offset facts),cheap-reuse (SIXTH codebook/ternary-grid leaf / COMPLETES the codebook/ternary-grid dequant cohort; only ternary tq1_0/tq2_0 remain dispatch-wired; ~decode-leaf-only = a ~6-line constructOrEmit facts branch + the shared gate/allowlist/dispatch || token; the decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 codebook/ternary-grid dequant touch-set lib+include files (per-format share of the 130/24 batch; see seq 26); family-specific = the nvfp4 constructOrEmit facts branch,HEAD=f1201748
